Family_id,Total_members,Ancient,Euteleostomi,Amniotes,Placentals,Recent,Ohnologs,SSDs,Dominant,Recessive,Both,Unknown,None,Family_Root
1019,2,1,0,0,1,0,2,0,0,0,0,2,0,Vertebrata
10195,4,0,0,0,0,4,0,4,0,0,0,2,2,Opisthokonta
102,5,4,0,1,0,0,5,0,0,0,0,5,0,LECA
1020,3,3,0,0,0,0,3,0,0,2,0,1,0,Chordata
10226,2,1,0,0,1,0,0,2,0,0,0,1,1,Gnathostomata
1024,2,1,1,0,0,0,2,0,0,0,0,2,0,Vertebrata
10244,2,1,1,0,0,0,0,2,0,0,0,2,0,Euteleostomi
1025,13,6,2,2,1,2,12,1,2,0,0,11,0,LECA
10253,2,1,0,1,0,0,0,2,0,2,0,0,0,Mammalia
10261,2,0,1,1,0,0,0,2,0,0,0,0,2,Gnathostomata
1028,17,4,9,2,2,0,9,8,7,3,2,5,0,Bilateria
10283,48,0,0,0,5,39,0,48,0,0,0,4,44,Euteleostomi
1029,2,2,0,0,0,0,0,2,0,0,0,1,1,Vertebrata
10298,2,2,0,0,0,0,2,0,0,0,0,2,0,Vertebrata
103,70,8,7,18,34,3,17,53,16,4,11,36,3,LECA
1032,4,1,0,2,0,1,4,0,0,0,0,3,1,LECA
10324,2,0,1,1,0,0,0,2,0,0,0,2,0,Gnathostomata
1033,8,1,1,2,0,4,3,5,3,0,0,5,0,LECA
1034,4,4,0,0,0,0,4,0,1,0,0,2,1,LECA
10342,3,1,2,0,0,0,1,2,0,0,0,1,2,Bilateria
10350,2,0,2,0,0,0,1,1,0,1,0,0,1,Chordata
10353,4,3,1,0,0,0,4,0,0,0,0,2,2,LECA
10354,4,0,0,0,2,2,0,4,0,0,0,1,3,Eutheria
10362,2,0,0,0,2,0,0,2,0,1,0,0,1,LECA
1037,3,3,0,0,0,0,0,3,2,0,0,1,0,Vertebrata
10377,2,1,0,1,0,0,0,2,0,0,0,1,1,LECA
1038,2,1,1,0,0,0,1,1,0,0,0,2,0,LECA
10381,13,0,0,0,0,13,0,13,0,0,0,1,12,Homininae
10387,2,2,0,0,0,0,0,2,0,1,0,0,1,Homo sapiens
10396,3,0,0,0,2,1,0,3,0,0,0,1,2,LECA
104,36,17,10,8,1,0,29,7,2,3,0,28,3,LECA
1042,19,11,3,4,0,1,9,10,1,1,0,15,2,LECA
1043,7,5,1,1,0,0,4,3,1,0,0,5,1,LECA
10432,2,0,0,0,2,0,0,2,0,0,0,1,1,Homo sapiens
1044,5,4,1,0,0,0,0,5,0,1,0,2,2,LECA
1046,4,0,2,0,2,0,1,3,0,2,0,2,0,LECA
1047,4,1,1,1,1,0,2,2,0,2,0,0,2,Opisthokonta
1048,4,4,0,0,0,0,4,0,0,0,0,4,0,LECA
1049,5,1,0,3,1,0,4,1,0,0,0,3,2,Bilateria
10506,2,2,0,0,0,0,2,0,0,0,0,1,1,Gnathostomata
1051,4,4,0,0,0,0,0,4,0,1,0,2,1,LECA
10521,2,0,0,2,0,0,0,2,0,0,0,0,2,Homo sapiens
10544,2,0,0,0,0,2,0,2,0,0,0,0,2,Theria
1055,3,1,2,0,0,0,0,3,1,0,0,2,0,Bilateria
10586,3,0,0,0,0,3,0,3,0,0,0,1,2,Homininae
1059,33,8,7,11,5,1,5,28,2,2,0,15,14,Bilateria
10590,2,1,0,0,0,1,0,2,0,1,0,1,0,LECA
10593,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
106,6,3,3,0,0,0,3,3,1,0,0,5,0,Bilateria
1060,27,12,3,8,2,2,12,15,6,0,1,11,9,LECA
1062,3,2,1,0,0,0,2,1,1,0,0,2,0,LECA
10624,2,0,1,0,1,0,0,2,0,0,0,1,1,LECA
1064,2,0,1,1,0,0,0,2,0,0,0,1,1,Gnathostomata
10648,3,3,0,0,0,0,2,1,0,0,0,0,3,Bilateria
10652,6,0,0,4,2,0,0,6,0,0,0,0,6,LECA
10694,2,2,0,0,0,0,0,2,0,0,0,1,1,Homininae
10697,2,0,1,1,0,0,0,2,0,0,0,2,0,LECA
107,5,0,1,3,0,1,5,0,0,1,0,2,2,LECA
10701,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
10705,2,1,0,1,0,0,2,0,0,0,0,1,1,Chordata
1071,3,2,1,0,0,0,3,0,0,1,0,2,0,Bilateria
1073,12,3,4,3,1,0,9,3,3,0,0,7,2,LECA
1074,8,2,2,2,1,0,4,4,0,1,0,3,4,LECA
10763,3,0,2,1,0,0,0,3,0,0,0,2,1,LECA
10781,8,0,0,0,0,2,0,8,0,0,0,0,8,Catarrhini
10787,2,2,0,0,0,0,0,2,0,1,0,0,1,LECA
1079,9,5,3,0,1,0,6,3,0,0,0,9,0,Bilateria
10797,2,2,0,0,0,0,0,2,0,0,0,2,0,Opisthokonta
108,5,3,0,1,1,0,4,1,0,3,0,2,0,LECA
10815,2,2,0,0,0,0,0,2,0,0,0,0,2,LECA
1083,2,0,1,0,1,0,2,0,0,0,0,2,0,Chordata
10833,2,2,0,0,0,0,2,0,0,0,0,0,2,LECA
1084,3,3,0,0,0,0,2,1,0,0,0,3,0,LECA
10840,2,1,0,0,0,1,0,2,0,1,0,0,1,LECA
10850,2,0,2,0,0,0,0,2,0,0,0,2,0,Gnathostomata
10854,2,0,0,0,2,0,0,2,0,0,0,0,2,Mammalia
1086,4,1,1,0,2,0,0,4,0,1,0,2,1,Bilateria
1087,2,0,1,1,0,0,2,0,0,1,0,1,0,LECA
10878,2,2,0,0,0,0,2,0,2,0,0,0,0,Vertebrata
10880,2,1,0,1,0,0,0,2,0,0,0,2,0,Vertebrata
10897,3,2,1,0,0,0,0,3,0,0,0,2,1,Opisthokonta
109,31,0,0,0,27,4,0,31,0,0,0,23,8,LECA
1090,4,1,1,1,1,0,0,4,0,1,0,3,0,LECA
10902,3,2,0,0,0,1,0,3,0,0,0,2,1,LECA
10906,2,2,0,0,0,0,2,0,0,1,0,1,0,Vertebrata
1092,2,2,0,0,0,0,2,0,0,1,0,0,1,Vertebrata
1093,2,2,0,0,0,0,2,0,0,0,0,2,0,Gnathostomata
10930,2,0,0,2,0,0,0,2,0,0,0,1,1,LECA
10939,2,0,0,2,0,0,0,2,0,0,0,2,0,Amniota
1094,4,0,2,1,1,0,3,1,0,0,0,4,0,LECA
10950,2,2,0,0,0,0,0,2,0,2,0,0,0,LECA
10964,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
1097,3,3,0,0,0,0,0,3,0,2,0,1,0,LECA
1098,3,2,0,1,0,0,3,0,1,0,0,1,1,LECA
10992,2,0,1,1,0,0,0,2,0,0,0,1,1,Amniota
11,20,7,7,5,1,0,6,14,2,0,1,13,4,LECA
110,28,0,6,7,12,3,0,28,2,0,0,24,2,Gnathostomata
1100,3,0,1,2,0,0,3,0,0,0,0,2,1,Vertebrata
11017,2,1,0,1,0,0,0,2,0,0,0,2,0,Chordata
11036,2,0,0,0,1,1,0,2,0,1,0,1,0,Theria
11043,3,0,0,0,1,2,0,3,0,0,0,2,1,Eutheria
1107,24,6,9,7,2,0,18,6,1,0,0,16,7,LECA
11075,4,1,2,1,0,0,4,0,0,0,0,4,0,LECA
1108,3,2,0,1,0,0,3,0,0,1,0,2,0,Chordata
11081,4,0,0,0,0,3,0,4,0,0,0,4,0,LECA
11096,2,0,0,0,2,0,0,2,0,0,0,1,1,Homo sapiens
111,28,7,5,3,11,2,19,9,12,2,5,7,2,LECA
1110,2,0,0,1,0,0,0,2,0,0,0,1,1,LECA
11105,3,1,0,2,0,0,0,3,0,1,0,2,0,Opisthokonta
1111,4,4,0,0,0,0,3,1,0,0,0,4,0,LECA
11118,4,3,0,0,1,0,0,4,0,0,0,3,1,LECA
11119,2,0,0,0,1,1,0,2,0,0,0,1,1,Eutheria
1112,5,4,0,0,1,0,5,0,0,0,0,4,1,Bilateria
11121,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
11127,3,2,1,0,0,0,0,3,0,1,0,1,1,LECA
1113,5,4,1,0,0,0,0,5,0,4,0,1,0,LECA
11130,2,2,0,0,0,0,2,0,0,0,0,2,0,Gnathostomata
11131,3,2,0,1,0,0,3,0,0,0,0,2,1,LECA
1115,5,0,0,0,4,1,0,5,0,0,0,4,1,Euteleostomi
1116,5,4,1,0,0,0,4,1,0,1,0,1,3,LECA
1117,4,0,1,1,2,0,3,1,0,0,0,3,1,Vertebrata
11174,2,0,0,2,0,0,0,2,0,0,0,0,2,Euteleostomi
11180,2,0,0,2,0,0,0,2,1,0,1,0,0,Eutheria
1119,4,4,0,0,0,0,3,1,0,0,0,2,2,Bilateria
11199,2,1,1,0,0,0,0,2,0,0,0,1,1,Vertebrata
112,10,3,1,3,2,1,6,4,2,1,0,6,1,LECA
1120,3,1,1,1,0,0,3,0,0,0,0,3,0,Chordata
11204,2,1,0,0,1,0,0,2,0,0,0,0,2,Vertebrata
1121,7,3,0,1,3,0,6,1,0,1,0,4,2,LECA
1122,3,3,0,0,0,0,0,3,1,0,0,2,0,LECA
1124,10,7,1,1,1,0,2,8,1,3,0,2,4,LECA
11250,2,1,0,1,0,0,0,2,1,0,0,1,0,LECA
11255,11,0,0,0,1,10,0,11,0,0,0,1,10,Eutheria
1126,4,3,1,0,0,0,2,2,0,1,0,3,0,LECA
1128,5,1,1,3,0,0,3,2,0,0,0,3,2,LECA
11282,3,0,0,0,1,2,0,3,0,0,0,1,2,Gnathostomata
11286,2,0,1,1,0,0,0,2,0,0,0,1,1,Gnathostomata
11289,3,2,0,0,0,1,3,0,0,0,0,0,3,LECA
11295,3,1,2,0,0,0,0,3,0,0,0,2,1,Vertebrata
113,25,12,10,2,1,0,16,9,4,2,0,18,1,LECA
11306,2,0,0,2,0,0,0,2,0,0,0,1,1,Homo sapiens
1131,2,1,1,0,0,0,2,0,0,0,0,2,0,LECA
11316,3,0,3,0,0,0,0,3,0,0,0,1,2,Gnathostomata
1132,6,5,0,1,0,0,0,6,0,0,0,3,3,LECA
1133,5,1,3,1,0,0,5,0,3,1,0,1,0,LECA
11339,2,1,1,0,0,0,0,2,0,0,0,2,0,Vertebrata
1134,27,24,3,0,0,0,4,23,0,2,0,20,5,LECA
11351,2,2,0,0,0,0,0,2,0,0,0,2,0,Gnathostomata
11359,4,0,4,0,0,0,0,4,0,0,0,0,4,Eutheria
1137,8,0,0,6,2,0,0,8,1,2,1,2,2,Gnathostomata
11373,5,1,2,2,0,0,4,1,0,0,0,4,1,LECA
11379,2,0,0,2,0,0,0,2,0,0,0,0,2,Eutheria
11391,3,1,1,0,1,0,0,3,0,0,0,2,1,LECA
11393,6,0,1,0,3,2,0,6,0,0,0,2,4,LECA
114,36,17,11,4,4,0,19,17,4,0,0,28,4,LECA
11404,2,0,0,0,0,2,0,2,0,0,0,0,2,Homo sapiens
1141,7,4,2,1,0,0,5,2,1,0,0,6,0,LECA
1142,2,1,1,0,0,0,0,2,0,0,0,2,0,Bilateria
1143,3,2,1,0,0,0,0,3,0,0,0,3,0,Opisthokonta
11430,2,1,1,0,0,0,0,2,0,0,0,0,2,LECA
1144,8,5,1,2,0,0,2,6,0,3,0,4,1,LECA
11440,2,0,2,0,0,0,0,2,0,0,0,1,1,Homininae
1145,5,3,1,0,1,0,5,0,0,0,0,3,2,Bilateria
11453,2,0,0,1,1,0,0,2,0,0,0,0,2,Theria
11455,2,2,0,0,0,0,0,2,0,0,0,1,1,Vertebrata
1149,3,3,0,0,0,0,0,3,0,0,0,1,2,LECA
115,3,0,1,2,0,0,3,0,0,0,0,3,0,Vertebrata
1151,3,3,0,0,0,0,2,1,0,0,0,1,2,Gnathostomata
11515,2,1,1,0,0,0,0,2,0,0,0,2,0,Bilateria
11564,2,0,2,0,0,0,0,2,0,0,0,0,2,Chordata
1159,7,4,2,0,0,1,5,2,2,2,1,1,1,LECA
11597,2,2,0,0,0,0,0,2,0,0,0,0,2,LECA
11599,2,1,0,1,0,0,0,2,0,0,0,1,1,Bilateria
116,5,1,0,3,1,0,5,0,0,1,0,3,1,LECA
1161,12,0,2,1,4,5,0,12,1,0,0,9,2,Bilateria
11622,2,0,1,1,0,0,0,2,0,0,0,1,1,LECA
1164,4,1,1,0,2,0,3,1,0,1,0,3,0,Opisthokonta
11655,2,0,0,0,2,0,0,2,0,0,0,2,0,Simiiformes
11668,3,2,0,1,0,0,2,1,0,0,0,2,1,LECA
11687,4,2,0,2,0,0,0,4,0,0,0,3,1,LECA
1169,3,3,0,0,0,0,2,1,0,1,0,2,0,LECA
117,30,15,5,6,4,0,12,18,2,0,1,23,4,Bilateria
1172,3,0,1,1,0,1,0,3,0,0,0,1,2,LECA
1173,6,5,0,1,0,0,2,4,0,3,0,2,1,LECA
1174,14,7,2,3,2,0,4,10,0,6,1,7,0,LECA
11746,2,1,1,0,0,0,0,2,0,0,0,1,1,Gnathostomata
1177,3,1,1,1,0,0,3,0,0,0,0,3,0,LECA
11771,3,1,2,0,0,0,3,0,0,0,0,3,0,Bilateria
11774,3,0,0,3,0,0,0,3,0,0,0,3,0,Eutheria
1179,5,2,1,2,0,0,4,1,0,1,0,3,1,LECA
118,5,4,0,0,1,0,2,3,0,1,0,4,0,LECA
1180,3,2,1,0,0,0,0,3,0,0,2,1,0,Gnathostomata
11802,10,0,0,0,4,5,0,10,0,0,0,2,8,Mammalia
1182,3,0,2,1,0,0,0,3,0,0,0,0,3,LECA
1185,17,3,11,3,0,0,0,17,0,1,0,16,0,Bilateria
1186,3,2,1,0,0,0,2,1,1,0,0,2,0,Vertebrata
11872,2,0,2,0,0,0,0,2,0,0,0,1,1,Euteleostomi
1188,3,3,0,0,0,0,3,0,0,0,0,3,0,LECA
1189,6,3,0,3,0,0,2,4,0,0,0,6,0,LECA
119,19,11,3,2,2,1,3,16,1,6,0,11,1,LECA
1190,3,2,1,0,0,0,3,0,0,0,0,3,0,LECA
11902,2,2,0,0,0,0,0,2,0,0,0,0,2,LECA
11905,2,0,0,1,0,1,0,2,0,0,0,1,1,Gnathostomata
1191,3,1,2,0,0,0,0,3,0,0,0,2,1,Vertebrata
11911,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
11915,2,1,1,0,0,0,0,2,0,0,0,0,2,Chordata
1194,2,0,2,0,0,0,2,0,0,0,0,2,0,Gnathostomata
11941,2,2,0,0,0,0,0,2,0,0,1,1,0,Amniota
11967,8,0,0,0,0,7,0,8,0,0,0,1,7,Homininae
1197,13,0,2,7,4,0,2,11,0,0,0,8,5,Bilateria
11997,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
11998,3,0,0,0,0,2,0,3,0,0,0,1,2,Homo sapiens
12,12,2,3,3,4,0,4,8,1,1,3,6,1,LECA
120,2,2,0,0,0,0,0,2,0,0,0,2,0,Vertebrata
1200,2,0,2,0,0,0,0,2,0,0,0,2,0,Gnathostomata
12019,2,2,0,0,0,0,0,2,0,0,0,1,1,Homo sapiens
12039,2,0,0,2,0,0,0,2,0,0,0,2,0,Amniota
12049,2,2,0,0,0,0,0,2,1,0,0,0,1,Homo sapiens
1205,7,5,1,0,1,0,6,1,2,2,0,2,1,Bilateria
12055,2,2,0,0,0,0,0,2,0,0,0,1,1,LECA
1206,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
1207,2,0,1,1,0,0,0,2,0,0,0,2,0,Euteleostomi
1210,7,2,3,2,0,0,0,7,1,0,0,5,1,LECA
12115,2,1,0,1,0,0,2,0,0,0,0,2,0,LECA
1213,9,6,2,1,0,0,5,4,0,1,0,6,2,LECA
1216,5,0,2,2,1,0,5,0,0,0,0,4,1,LECA
12166,6,0,0,0,2,4,0,6,0,0,0,0,6,Euarchontoglires
12169,2,2,0,0,0,0,0,2,0,0,0,2,0,Gnathostomata
1217,31,13,8,7,3,0,18,13,1,1,0,23,6,LECA
1218,2,0,2,0,0,0,0,2,1,0,0,0,1,LECA
1219,3,2,0,1,0,0,2,1,0,0,0,3,0,Vertebrata
122,11,6,3,0,1,1,9,2,0,2,0,7,2,Opisthokonta
1221,4,0,1,3,0,0,0,4,0,0,0,2,2,Euteleostomi
1223,3,3,0,0,0,0,3,0,0,0,0,2,1,LECA
1227,7,3,1,0,1,2,3,4,1,0,3,3,0,LECA
12280,2,0,2,0,0,0,0,2,0,0,0,1,1,Homo sapiens
12289,2,0,0,2,0,0,0,2,0,0,0,2,0,Euteleostomi
1229,5,1,1,0,2,1,2,3,0,0,0,4,1,LECA
123,3,1,1,1,0,0,0,3,0,3,0,0,0,LECA
1230,2,2,0,0,0,0,0,2,0,1,0,1,0,Bilateria
12301,2,0,0,1,1,0,2,0,0,0,0,2,0,LECA
12308,2,0,2,0,0,0,0,2,0,0,0,0,2,Gnathostomata
1231,14,13,0,1,0,0,6,8,2,1,0,8,3,LECA
1237,12,9,3,0,0,0,2,10,0,2,0,3,7,LECA
1238,15,4,3,5,3,0,0,15,7,0,2,3,3,LECA
124,2,1,1,0,0,0,0,2,0,0,0,1,1,LECA
1241,8,5,2,1,0,0,5,3,0,2,0,5,1,Bilateria
12424,2,0,0,1,1,0,0,2,0,0,0,1,1,Bilateria
12428,4,0,3,1,0,0,0,4,0,0,0,0,4,Vertebrata
12446,2,2,0,0,0,0,0,2,0,0,0,2,0,Vertebrata
1245,14,7,2,3,2,0,2,12,1,0,0,11,2,LECA
1246,3,3,0,0,0,0,3,0,0,0,0,3,0,Gnathostomata
1247,85,9,16,15,22,22,13,72,1,6,1,46,31,LECA
12470,3,0,0,1,0,1,0,3,0,0,0,0,3,Eutheria
12491,2,0,0,0,2,0,0,2,0,0,0,0,2,Homo sapiens
12495,2,0,0,0,2,0,0,2,0,0,0,0,2,Homo sapiens
12497,2,0,0,0,2,0,0,2,0,0,0,0,2,Homo sapiens
125,2,0,0,1,1,0,0,2,0,0,0,2,0,LECA
1250,9,1,5,1,2,0,9,0,0,0,1,6,2,LECA
1252,4,3,1,0,0,0,4,0,1,0,0,2,1,LECA
1253,2,1,1,0,0,0,0,2,2,0,0,0,0,LECA
12539,2,0,2,0,0,0,0,2,0,0,0,2,0,Bilateria
1254,2,1,0,0,0,0,0,2,1,0,0,0,1,LECA
1256,4,4,0,0,0,0,2,2,0,0,0,4,0,LECA
12565,2,0,0,0,1,1,0,2,0,0,0,0,2,Boreoeutheria
1257,3,1,1,1,0,0,2,1,1,0,0,2,0,LECA
1258,5,2,1,2,0,0,3,2,0,0,0,4,1,Bilateria
126,8,2,6,0,0,0,6,2,1,1,0,6,0,Bilateria
1261,5,2,1,1,0,1,5,0,0,0,1,4,0,LECA
12615,2,1,0,0,1,0,0,2,0,0,0,2,0,LECA
1262,2,2,0,0,0,0,2,0,0,0,0,1,1,Gnathostomata
1263,7,2,1,2,1,1,2,5,0,2,0,3,2,LECA
12637,3,0,2,0,1,0,3,0,1,0,0,2,0,Vertebrata
1264,13,0,1,2,3,7,0,13,0,0,0,13,0,Gnathostomata
1267,4,0,1,2,1,0,4,0,1,0,0,3,0,LECA
1269,2,0,0,2,0,0,0,2,1,0,1,0,0,Gnathostomata
12699,4,0,1,2,1,0,0,4,0,0,0,4,0,Vertebrata
127,2,2,0,0,0,0,2,0,0,0,0,2,0,Vertebrata
1270,2,1,0,0,1,0,0,2,0,0,0,1,1,LECA
12706,2,1,0,1,0,0,0,2,0,1,0,0,1,LECA
1271,3,2,1,0,0,0,2,1,0,1,0,2,0,Bilateria
12730,2,0,0,0,0,2,0,2,0,0,0,0,2,Hominoidea
12739,3,0,0,0,3,0,0,3,0,0,0,0,3,Hominoidea
12759,2,2,0,0,0,0,0,2,1,0,0,0,1,Boreoeutheria
1277,2,0,2,0,0,0,0,2,0,0,0,2,0,LECA
12770,4,0,0,0,2,2,0,4,0,0,0,4,0,Eutheria
12777,2,1,0,1,0,0,1,1,0,0,0,0,2,LECA
12796,2,0,2,0,0,0,0,2,0,0,0,1,1,Homo sapiens
128,17,1,3,4,5,4,2,15,0,0,0,13,4,LECA
12817,2,2,0,0,0,0,0,2,0,1,0,0,1,LECA
12818,4,4,0,0,0,0,0,4,0,0,0,4,0,Homo sapiens
12819,2,1,0,1,0,0,0,2,0,0,0,1,1,LECA
12837,4,0,0,0,4,0,0,4,0,0,0,0,4,Mammalia
12842,2,0,1,1,0,0,0,2,0,0,0,0,2,LECA
12843,2,2,0,0,0,0,2,0,0,0,0,2,0,Gnathostomata
1287,62,5,6,6,27,18,0,62,0,2,0,59,1,LECA
12873,2,0,1,1,0,0,0,2,0,0,0,1,1,Gnathostomata
12884,2,1,1,0,0,0,0,2,0,1,0,1,0,LECA
129,2,2,0,0,0,0,0,2,0,1,1,0,0,Opisthokonta
12905,2,2,0,0,0,0,1,1,0,0,0,0,2,Vertebrata
12925,5,0,0,0,0,5,0,5,0,0,0,5,0,Simiiformes
12928,2,0,0,0,0,2,0,2,0,0,0,0,2,Catarrhini
12935,2,0,1,1,0,0,0,2,0,0,0,0,2,Tetrapoda
1294,3,0,1,1,1,0,0,3,0,1,0,2,0,Gnathostomata
12945,2,0,2,0,0,0,0,2,0,0,0,0,2,Homo sapiens
1297,2,2,0,0,0,0,2,0,0,0,0,0,2,Vertebrata
1298,9,3,5,1,0,0,5,4,3,2,2,2,0,Bilateria
1299,25,9,11,4,1,0,13,12,3,3,0,15,4,LECA
13,10,7,1,2,0,0,4,6,0,1,0,4,5,LECA
130,20,1,4,3,5,7,3,17,1,0,0,13,6,Bilateria
1301,7,5,1,1,0,0,4,3,2,0,0,5,0,LECA
13018,2,1,1,0,0,0,0,2,0,1,0,1,0,LECA
1302,2,2,0,0,0,0,2,0,0,0,0,0,2,LECA
13026,2,1,1,0,0,0,0,2,0,0,0,2,0,LECA
1305,2,0,1,1,0,0,2,0,0,0,0,2,0,Vertebrata
13052,5,0,0,0,0,0,0,5,0,0,0,5,0,Homo sapiens
1307,15,7,5,2,1,0,10,5,2,0,0,13,0,LECA
131,4,1,2,0,1,0,3,1,0,0,0,3,1,Bilateria
1310,18,12,5,1,0,0,8,10,0,0,1,16,1,Bilateria
13122,2,2,0,0,0,0,0,2,0,0,0,0,2,Catarrhini
1313,3,3,0,0,0,0,3,0,0,0,0,2,1,LECA
13139,2,0,0,0,0,2,0,2,0,0,0,2,0,Homininae
1314,10,9,0,1,0,0,9,1,0,2,2,5,1,LECA
1315,2,0,2,0,0,0,2,0,0,0,0,1,1,LECA
1316,2,2,0,0,0,0,0,2,0,0,0,2,0,Opisthokonta
1317,10,3,3,3,1,0,5,5,1,0,0,3,6,LECA
1319,2,2,0,0,0,0,2,0,0,0,0,2,0,Vertebrata
132,2,1,0,1,0,0,0,2,0,1,0,1,0,LECA
13200,2,0,2,0,0,0,0,2,0,0,0,1,1,Homo sapiens
1322,6,5,0,0,1,0,2,4,0,1,0,3,2,LECA
1323,3,1,1,1,0,0,2,1,0,0,0,3,0,LECA
1324,6,2,4,0,0,0,6,0,1,0,1,4,0,Bilateria
1326,6,5,1,0,0,0,6,0,0,4,0,2,0,LECA
1327,8,4,4,0,0,0,6,2,1,0,0,5,2,Vertebrata
13287,3,2,1,0,0,0,0,3,0,0,0,3,0,Vertebrata
1329,3,2,0,1,0,0,0,3,0,1,0,2,0,LECA
133,8,4,3,1,0,0,6,2,1,0,0,6,1,LECA
1330,2,0,0,1,0,1,2,0,0,0,0,2,0,Opisthokonta
1331,2,2,0,0,0,0,0,2,0,0,0,2,0,Mammalia
1333,11,6,3,1,1,0,0,11,0,1,0,9,1,LECA
1335,7,2,3,0,2,0,2,5,0,1,0,3,3,LECA
13355,2,2,0,0,0,0,0,2,0,0,0,1,1,LECA
1336,8,1,1,3,1,2,0,8,0,0,0,3,5,LECA
1339,30,3,2,6,12,7,0,30,2,0,0,17,11,LECA
134,18,11,1,1,5,0,5,13,0,9,0,8,1,Bilateria
1341,2,2,0,0,0,0,0,2,0,1,0,1,0,Opisthokonta
1343,4,2,2,0,0,0,3,1,0,0,0,3,1,LECA
1344,6,6,0,0,0,0,0,6,1,1,0,3,1,LECA
13444,2,1,0,1,0,0,0,2,0,0,0,1,1,LECA
13453,2,1,0,0,0,1,0,2,0,1,0,0,1,Opisthokonta
1346,23,11,3,9,0,0,4,19,0,2,0,14,7,LECA
13469,2,1,0,1,0,0,0,2,0,0,0,0,2,Gnathostomata
1347,3,2,1,0,0,0,0,3,0,0,0,3,0,LECA
135,5,3,0,1,1,0,3,2,0,2,0,3,0,Bilateria
13508,3,1,0,0,1,1,0,3,0,0,0,0,3,Bilateria
1351,12,1,4,1,3,3,0,12,0,0,0,12,0,LECA
1352,3,1,2,0,0,0,3,0,1,0,0,2,0,Vertebrata
1353,2,0,1,1,0,0,0,2,0,0,0,1,1,Vertebrata
1354,14,3,3,6,1,0,10,4,0,3,0,8,3,Bilateria
1355,4,1,2,0,1,0,4,0,0,0,0,4,0,Bilateria
13552,2,0,1,0,0,1,0,2,0,1,0,0,1,Gnathostomata
1357,3,1,2,0,0,0,3,0,0,0,0,1,2,LECA
13572,2,0,1,0,0,1,0,2,0,1,0,0,1,Bilateria
1358,3,0,2,1,0,0,0,3,0,0,0,3,0,Vertebrata
1359,6,3,2,1,0,0,1,5,1,2,0,3,0,LECA
136,45,16,8,11,4,5,26,19,5,7,5,23,5,LECA
1360,2,2,0,0,0,0,2,0,0,0,0,2,0,LECA
